_c0,signal_std,signal_rad,pluie
2022-12-08T00:50:00.000+01:00,-19.909515,-31.113354,0
2022-12-08T00:51:00.000+01:00,-19.88395,-31.116905,0
2022-12-08T00:52:00.000+01:00,-19.874004,-31.109802,0
2022-12-08T00:53:00.000+01:00,-19.874716,-31.11193,0
2022-12-08T00:54:00.000+01:00,-19.871164,-31.11193,0
2022-12-08T00:55:00.000+01:00,-19.88395,-31.103409,0
2022-12-08T00:56:00.000+01:00,-19.884659,-31.10412,0
2022-12-08T00:57:00.000+01:00,-19.881819,-31.112642,0
2022-12-08T00:58:00.000+01:00,-19.869034,-31.096306,0
2022-12-08T00:59:00.000+01:00,-19.895313,-31.112642,0
2022-12-08T01:00:00.000+01:00,-19.892471,-31.10199,0
2022-12-08T01:01:00.000+01:00,-19.884659,-31.112642,0
2022-12-08T01:02:00.000+01:00,-19.849857,-31.11193,0
2022-12-08T01:03:00.000+01:00,-19.935795,-31.111221,0
2022-12-08T01:04:00.000+01:00,-19.871164,-31.104118,0
2022-12-08T01:05:00.000+01:00,-19.876846,-31.10838,0
2022-12-08T01:06:00.000+01:00,-19.834942,-31.10625,0
2022-12-08T01:07:00.000+01:00,-19.891052,-31.095596,0
2022-12-08T01:08:00.000+01:00,-19.896023,-31.114773,0
2022-12-08T01:09:00.000+01:00,-19.881107,-31.097015,0
2022-12-08T01:10:00.000+01:00,-19.897444,-31.096306,0
2022-12-08T01:11:00.000+01:00,-19.875427,-31.087074,0
2022-12-08T01:12:00.000+01:00,-19.88395,-31.10483,0
2022-12-08T01:13:00.000+01:00,-19.85696,-31.099857,0
2022-12-08T01:14:00.000+01:00,-19.85696,-31.094887,0
2022-12-08T01:15:00.000+01:00,-19.899574,-31.093466,0
2022-12-08T01:16:00.000+01:00,-19.859802,-31.099148,0
2022-12-08T01:17:00.000+01:00,-19.876846,-31.104118,0
2022-12-08T01:18:00.000+01:00,-19.895313,-31.099148,0
2022-12-08T01:19:00.000+01:00,-19.873295,-31.093466,0
2022-12-08T01:20:00.000+01:00,-19.900284,-31.098438,0
