pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-23.235512,,-30.105896,,2022-10-07T03:44:00.000+02:00,2022-10-07T03:45:00.000+02:00
0,-22.875427,,-30.24652,,2022-11-09T07:09:00.000+01:00,2022-11-09T07:10:00.000+01:00
0,-22.879332,,-29.880398,,2022-07-08T22:36:00.000+02:00,2022-07-08T22:37:00.000+02:00
0,-22.989418,,-29.87081,,2022-10-11T03:28:00.000+02:00,2022-10-11T03:29:00.000+02:00
0,-22.241194,,-29.18544,,2022-05-17T04:24:00.000+02:00,2022-05-17T04:25:00.000+02:00
0,-23.072159,,-29.974148,,2022-09-23T13:37:00.000+02:00,2022-09-23T13:38:00.000+02:00
1,-23.033451,,-29.301918,,2022-11-19T12:20:00.000+01:00,2022-11-19T12:21:00.000+01:00
0,-22.367615,,-29.432955,,2022-05-17T19:22:00.000+02:00,2022-05-17T19:23:00.000+02:00
0,-22.403835,,-29.501846,,2022-05-31T08:19:00.000+02:00,2022-05-31T08:20:00.000+02:00
0,-20.759304,,-29.145668,,2022-12-17T06:05:00.000+01:00,2022-12-17T06:06:00.000+01:00
0,-22.173721,,-29.241192,,2022-09-08T00:15:00.000+02:00,2022-09-08T00:16:00.000+02:00
1,-22.813637,,-29.13608,,2022-07-16T12:36:00.000+02:00,2022-07-16T12:37:00.000+02:00
0,-23.211365,,-30.195028,,2022-10-22T04:02:00.000+02:00,2022-10-22T04:03:00.000+02:00
0,-23.190413,,-30.246164,,2022-11-05T11:31:00.000+01:00,2022-11-05T11:32:00.000+01:00
0,-22.685795,,-29.861221,,2022-07-02T16:59:00.000+02:00,2022-07-02T17:00:00.000+02:00
0,-24.243324,,-30.987642,,2022-12-05T10:52:00.000+01:00,2022-12-05T10:53:00.000+01:00
0,-23.079262,,-29.9951,,2022-11-22T06:04:00.000+01:00,2022-11-22T06:05:00.000+01:00
0,-23.419815,,-30.695385,,2022-11-21T14:47:00.000+01:00,2022-11-21T14:48:00.000+01:00
0,-22.119034,,-29.201065,,2022-07-25T00:06:00.000+02:00,2022-07-25T00:07:00.000+02:00
1,-23.513565,,-29.082458,,2022-09-28T06:50:00.000+02:00,2022-09-28T06:51:00.000+02:00
0,-20.810085,,-29.063992,,2022-12-20T14:39:00.000+01:00,2022-12-20T14:40:00.000+01:00
